win,overlap,accuracy,acc_std,top1,feat1,top2,feat2,top3,feat3
15,0.0,0.4994537554314091,0.025364852689859465,0.11432438754092727,kurtosis,0.08263625140665162,skew,0.07518813687846758,ac_amp
15,0.25,0.5241976199062388,0.03931900502119325,0.1124638650148532,kurtosis,0.08054455638189255,skew,0.07755323458129512,min
15,0.5,0.5180886989644853,0.029602719468688726,0.11613198182403675,kurtosis,0.08117872916752977,skew,0.07645591918059434,ac_amp
30,0.0,0.5325848703555198,0.0772321550723243,0.10086675461457575,kurtosis,0.08647920704073174,skew,0.08040239428738653,hr_mean
30,0.25,0.5338080959520239,0.06972416958853102,0.11266654989202612,kurtosis,0.08433801853266662,skew,0.08010186842143638,pnn50
30,0.5,0.5394918203967978,0.061382963653770634,0.11453375461181281,kurtosis,0.09170838896546711,skew,0.07375265013029338,pnn50
60,0.0,0.5574358974358974,0.05902534028304503,0.0997210744014533,kurtosis,0.0884608795532424,rr_mean,0.08688241234396907,pnn50
60,0.25,0.5954577218728162,0.03518183669616478,0.12953773071536515,kurtosis,0.09087848559038089,pnn50,0.07889079030364765,skew
60,0.5,0.5708133971291866,0.054884770742578914,0.11740581340163718,kurtosis,0.09327419063909215,pnn50,0.07972247785439665,rr_mean
120,0.0,0.630718954248366,0.11271430857411668,0.14177774316881864,kurtosis,0.09533431049910907,pnn50,0.09212577000669984,rr_mean
120,0.25,0.6276679841897234,0.04156028277658473,0.16229638610127883,kurtosis,0.08559459773177379,pnn50,0.07812699254452839,rr_mean
120,0.5,0.6172413793103448,0.08670964512556584,0.1574084907839225,kurtosis,0.08838955228191728,rr_mean,0.07894373678565952,min
